cmd,params,description,backend
ping,,"Returns frame number + dispatch miss counters. Health check.",both
frame,,"Returns current guest frame number.",both
quit,,"Shuts down the runtime.",psx-runtime
set_input,"buttons (str)","Sets persistent controller input. buttons=hex button word (e.g. '0x8000' = DPadUp).",both
press,"buttons (int), frames (int)","Press buttons for N frames. buttons=hex word, frames default 1.",both
clear_input,,"Clears all input overrides.",both
pad_status,,"Returns current pad state (buttons + analog if active).",both
savestate,"slot (int), op (str)","Save/load state. slot=0|1, op='save'|'load'.",psx-runtime
turbo,"enabled (int), on (int)","Toggle turbo mode. enabled or on=1 to enable, 0 to disable.",psx-runtime
turbo_state,,"Returns current turbo state.",psx-runtime
turbo_loads,"n (int)","Run N frames at max speed, then report.",psx-runtime
pause,,"Pauses emulation at next safe point.",psx-runtime
continue,,"Resumes emulation from pause.",psx-runtime
step,,"Single-step one guest instruction (must be paused).",psx-runtime
run_to_frame,,"Continue until next vblank/frame boundary.",psx-runtime
dirty_break_range,"lo (str), hi (str)","Set phys address range for dirty-RAM one-shot break. When a write hits [lo,hi), pause and capture CPU state.",psx-runtime
dirty_break_clear,,"Disarms dirty break.",psx-runtime
dirty_break_state,,"Returns current dirty-break state (armed/target/hits).",psx-runtime
read_ram,"addr (str), len (int)","Read len bytes from phys addr. Returns hex string.",both
dump_ram,"addr (str), len (int)","Alias for read_ram.",both
write_ram,"addr (str), val (str)","Write hex val to phys addr.",psx-runtime
mem_words,"addr (str), count (int)","Read count words (4 bytes each) from phys addr. Returns JSON array.",psx-runtime
get_registers,,"Returns all CPU registers (GPR + COP0 + PC + hi/lo).",both
screenshot,"","Takes a screenshot (returns base64 PNG or writes to default path).",both
screenshot_file,"path (str)","Takes a screenshot and writes to the given file path.",both
read_frame_ram,"frame (int), addr (str), len (int)","Read RAM snapshot from a specific historical frame.",both
set_snapshot,"slot (int), addr (str)","Configure a persistent RAM snapshot slot. Writes snapshot_addrs[slot]=addr.",both
get_snapshots,,"Returns configured snapshot slots and their current values.",both
frame_fingerprint,"count (int), frame_lo (int), frame_hi (int)","Dump per-frame write fingerprint ring. Diff wr/pc hashes between two runs to find first-divergence frame.",psx-runtime
record_frame,"frame (int)","Arm the frame-gated ordered access recorder for guest frame N. -1 disarms.",psx-runtime
record_frame_dump,"offset (int), count (int), kind (int)","Dump recorded frame's ordered access log. kind: 0=ramw,1=spw,2=mmiow,3=mmior,4=ramr, -1=all.",psx-runtime
record_reads_dump,"offset (int), count (int)","Dump recorded frame's MMIO-read entries only.",psx-runtime
history,,"Returns per-frame history ring buffer.",both
get_frame,"frame (int)","Returns a single frame record by number.",both
frame_range,"start (int), end (int)","Returns frame records in [start, end].",both
frame_timeseries,"start (int), end (int)","Returns frame time series for [start, end].",both
first_failure,,"Returns the first frame where native and interp fingerprints diverge.",psx-runtime
frame_perf,,"Returns per-frame GPU/render performance counters.",psx-runtime
watch,"addr (str)","Set a watchpoint on a physical address. Triggers on read/write.",psx-runtime
unwatch,"addr (str)","Remove a watchpoint.",psx-runtime
gpu_state,,"Returns current GPU state (display mode, VRAM transfer, GP0/GP1 pending).",psx-runtime
gpu_opcodes,,"Returns GPU GP0/GP1 opcode statistics.",psx-runtime
gpu_ring_stats,,"Returns GPU command ring buffer stats.",psx-runtime
gpu_frame_dump,"frame (int), count (int)","Dump GPU command ring for a specific frame.",psx-runtime
gp1_dump,"frame_lo (int), frame_hi (int), count (int), newest (int)","Dump GP1 (display control) command history. newest=1 for reverse order.",psx-runtime
irq_state,,"Returns I_STAT and I_MASK registers.",both
cycles_to_next_event,,"Returns cycles until next scheduled device event.",psx-runtime
timers_state,,"Returns state of all 4 hardware timers.",psx-runtime
dma_state,,"Returns state of all DMA channels (control, status, block info).",psx-runtime
dma_trace_dump,"count (int)","Dump last N DMA trace entries.",psx-runtime
dma_trace_clear,,"Clear DMA trace ring.",psx-runtime
dma_cdrom_history,"count (int), frame_lo (int), frame_hi (int), newest (int)","Dump CDROM DMA transfer history.",psx-runtime
cdrom_state,,"Returns full CDROM controller state (status, mode, pending commands).",psx-runtime
cdrom_sector_dump,"offset (int), len (int)","Dump raw sector data from CDROM buffer.",psx-runtime
cdrom_sector_history,"count (int), lba (str)","Dump CDROM sector read history. Optional LBA filter.",psx-runtime
cdrom_sector_history_clear,,"Clear CDROM sector history.",psx-runtime
cdrom_command_history,"count (int), frame_lo (int), frame_hi (int)","Dump CDROM command history ring.",psx-runtime
cdrom_command_history_clear,,"Clear CDROM command history.",psx-runtime
cdrom_trace_dump,"count (int), frame_lo (int), frame_hi (int)","Dump detailed CDROM timing trace.",psx-runtime
cdrom_trace_clear,,"Clear CDROM trace.",psx-runtime
cdrom_instant_rate,"n (int)","Report instantaneous CD read rate (sectors/sec) over last N vblanks.",psx-runtime
cdrom_bursts,"count (int)","Dump recent CD read burst patterns (default 32, max 128).",psx-runtime
cd_read_log,"tail (int)","Dump CD read log entries (default 256 recent).",psx-runtime
cd_overwrite,,"Report CD controller overwrite race state.",psx-runtime
sio_state,,"Returns SIO (serial I/O) controller/card state.",psx-runtime
sio_trace,"count (int)","Dump last N SIO byte-level trace entries.",both
sio_trace_window,"seq (int), before (int), after (int)","Dump SIO trace around a specific sequence number.",psx-runtime
sio_pc_trace,"count (int), addr_lo (str), addr_hi (str)","Dump SIO write PC trace. Optional addr filter for specific SIO registers.",psx-runtime
sio_pc_window,"byte_seq (int), before (int), after (int), addr_lo (str), addr_hi (str)","Dump SIO PC trace around a specific byte sequence.",psx-runtime
sio_ctrl_reg_trace,"count (int)","Dump SIO_CTRL (0x1F80104A) write trace with full CPU state.",psx-runtime
sio_ctrl_reg_window,"byte_seq (int), before (int), after (int)","Dump SIO_CTRL trace around a specific byte sequence.",psx-runtime
sio_ctrl_reg_clear,,"Clear SIO_CTRL register trace.",psx-runtime
sio_irq_dump,"count (int), src (int)","Dump SIO IRQ events. src=filter to specific IRQ source.",psx-runtime
sio_irq_window,"byte_seq (int), before (int), after (int), src (int)","Dump SIO IRQ events around a byte sequence.",psx-runtime
sio_irq_dump (alias),,"Clear SIO IRQ trace.",psx-runtime
sio_burst_stats,,"Returns SIO burst timing statistics.",psx-runtime
sio_arm_audit,,"Returns SIO arm/audit state.",psx-runtime
sio_write_window,"","Returns the SIO write window (for parity with psx-beetle).",psx-beetle
