type,flag_or_field,default,description
CLI,--bios <path>,(compile-time default),Override the BIOS ROM path (SCPH1001.BIN). CLI wins over game.toml and settings.toml.
CLI,--game <toml>,(auto-detect),Load a game config TOML (single source of truth for disc / memcard / title / debug port). Relative paths resolve against exe dir.
CLI,--disc <path>,(from game.toml),Override the game config disc path (CUE/BIN).
CLI,--debug-port <n>,4370,Override the TCP debug-server port (multi-instance soak fleet). Wins over game.toml.
CLI,--renderer <name>,software,Override renderer: software | opengl | vulkan.
CLI,--window-title <str>,(from game.toml),Override SDL window title (fleet labeling).
CLI,--launcher,off,Force the GUI launcher on (overrides skip_launcher in settings.toml).
CLI,--no-launcher,off,Skip the GUI launcher (boot straight in). Same as PSX_NO_LAUNCHER=1.
CLI,--headless,off,Skip SDL window + audio; TCP screenshots/state only. Same as PSX_HEADLESS=1.
CLI,<positional>,(none),Deprecated alias for --bios.
ENV,PSX_BIOS_HLE,from game.toml,Enable HLE BIOS tier (1=on, 0=off). When on: instant boot-skip, kernel services computed in-runtime. 0 for pure LLE.
ENV,PSX_BIOS_HLE_KEEP_INTRO,0,When HLE BIOS is on, keep the intro boot animation (don't skip to game).
ENV,PSX_HLE_SCHEDULER,1,Enable deterministic HLE TCB scheduler (1=on, 0=off). Works under both BIOS backends.
ENV,PSX_HEADLESS,0,Boot without SDL window/audio (1=on). Use TCP for all I/O.
ENV,PSX_NO_LAUNCHER,0,Skip the GUI launcher window (1=on). Boots straight into game.
ENV,PSX_DEV_INPUT,0,Merge all controllers to P1 for debugging (1=on).
ENV,PSX_EXIT_HALT,0,Halt-and-serve on PC=0 exit (1=on). Keeps TCP server alive after game ends.
ENV,PSX_FAIL_FAST_UNKNOWN_DISPATCH,1,Abort on unknown dispatch target (1=on). 0 = log and continue.
ENV,PSX_FAIL_FAST_UNIMPLEMENTED,1,Abort on unimplemented opcode (1=on). 0 = log and continue.
ENV,PSX_FAIL_FAST_UNSUPPORTED,1,Abort on unsupported instruction (1=on). 0 = log and continue.
ENV,PSX_FORCE_INTERP,0,Route ALL RAM through dirty-RAM interpreter (1=on). Debug: disables compiled native code entirely.
ENV,PSX_SHELLWIN_INTERP,0,Route BIOS shell window [0x30000,0x5AFFF] through dirty-RAM interpreter (1=on).
ENV,PSX_MMIO_WAIT,1,Enable device-region read-cycle waits (1=on). 0 = no waits (fast but breaks timing).
ENV,PSX_POLL_PROOF,0,Extra cycle cost for low-RAM reads (0=off, >0=cycles added). Timing correction factor.
ENV,PSX_LOAD_DELAY,1,Enable R3000A load-delay interlock timing (1=on, 0=off). 0 = no load-delay modeling.
ENV,PSX_ICACHE,1,Enable I-cache simulation (1=on, 0=off).
ENV,PSX_IDLE_SKIP,0,Skip pacing in idle loops (1=on). Runs at host speed during BIOS idle polling.
ENV,PSX_RECURSION_LIMIT,256,Max dispatch recursion depth before abort.
ENV,PSX_MIXED_OWNER,1,Enable mixed-mode stack watermark (1=on, 0=off). Controls compiled↔interp transitions.
ENV,PSX_MIXED_STACK_KB,700,Mixed-mode stack overflow threshold in KB.
ENV,PSX_STARVATION_TIMEOUT_US,4000000,Watchdog timeout in microseconds (default 4s). Aborts if emulation stalls.
ENV,PSX_RECORD_FRAME,(none),Arm the frame-gated ordered access recorder from boot for guest frame N.
ENV,PSX_READ_WATCH,"lo,hi",Arm a targeted main-RAM read watch range for the recorded frame.
ENV,PSX_STACK_GUARD_KB,(default),Stack guard size in KB for overflow detection.
ENV,PSX_PRECISE_SLICE,0,Precise-cycle slicing mode (0=off, 1=on). Breaks large blocks at device deadlines.
ENV,PSX_PRECISE_ALWAYS,0,Always use precise-cycle mode (0=off, 1=on).
